Party,%_of_votes,Status,Mandates
People's Front,22.14,Elected,64
BPP,21.82,Elected,63
Samopomich,10.98,Elected,32
Opposition Bloc,9.43,Elected,27
Radical Party O. Lyashko,7.45,Elected,22
Fatherland,5.68,Elected,17
Svoboda,4.71,Not elected,0
Communist Party,3.88,Not elected,0
Strong Ukraine of S.Tigipko,3.12,Not elected,0
Civic Position,3.11,Not elected,0
Zastup,2.66,Not elected,0
Right Sector,1.81,Not elected,0
Solidarity of Women of Ukraine,0.67,Not elected,0
Party 5.10,0.43,Not elected,0
Internet Party,0.37,Not elected,0
Party of Greens,0.25,Not elected,0
Green Planet,0.24,Not elected,0
Renaissance,0.20,Not elected,0
One Country,0.18,Not elected,0
UKRAINE IS ONE COUNTRY,0.13,Not elected,0
New Politics,0.12,Not elected,0
Power of Peope,0.11,Not elected,0
Ukraine of the Future,0.09,Not elected,0
Power and Honor,0.09,Not elected,0
Civic movement of Ukraine,0.08,Not elected,0
Bloc of Left Forces,0.08,Not elected,0
National Democratic Party of Ukraine,0.08,Not elected,0
Congress of Ukrainian Nationalists,0.06,Not elected,0
Liberal Party,0.05,Not elected,0
