Party,Year,%_of_votes,Status,Mandates
Servant of the People,2019,43.16,Elected,124
Fatherland,2019,8.19,Elected,24
European Solidarity,2019,8.11,Elected,23
Voice,2019,5.83,Elected,17
Radical Party of Oleh Lyashko,2019,4.01,Not elected,0
Power and Honor,2019,3.82,Not elected,0
Opposition Bloc,2019,3.03,Not elected,0
US Groisman,2019,2.42,Not elected,0
Party of Shariy,2019,2.24,Not elected,0
Svoboda,2019,2.16,Not elected,0
Civic Position,2019,1.05,Not elected,0
Party of Greens,2019,0.66,Not elected,0
Samopomich,2019,0.63,Not elected,0
Agrarian Party,2019,0.52,Not elected,0
RNS M. Saakashvili,2019,0.46,Not elected,0
Power of People,2019,0.19,Not elected,0
Power of Law,2019,0.14,Not elected,0
Patriot,2019,0.11,Not elected,0
Social Justice,2019,0.11,Not elected,0
Independence,2019,0.05,Not elected,0
Fakel,2019,0.05,Not elected,0
Opposition Platform - for Life,2019,13.06,Elected,37
People's Front,2014,22.14,Elected,64
BPP,2014,21.82,Elected,63
Samopomich,2014,10.98,Elected,32
Opposition Bloc,2014,9.43,Elected,27
Radical Party O. Lyashko,2014,7.45,Elected,22
Fatherland,2014,5.68,Elected,17
Svoboda,2014,4.71,Not elected,0
Communist Party,2014,3.88,Not elected,0
Strong Ukraine of S.Tigipko,2014,3.12,Not elected,0
Civic Position,2014,3.11,Not elected,0
Zastup,2014,2.66,Not elected,0
Right Sector,2014,1.81,Not elected,0
Solidarity of Women of Ukraine,2014,0.67,Not elected,0
Party 5.10,2014,0.43,Not elected,0
Internet Party,2014,0.37,Not elected,0
Party of Greens,2014,0.25,Not elected,0
Green Planet,2014,0.24,Not elected,0
Renaissance,2014,0.2,Not elected,0
One Country,2014,0.18,Not elected,0
UKRAINE IS ONE COUNTRY,2014,0.13,Not elected,0
New Politics,2014,0.12,Not elected,0
Power of Peope,2014,0.11,Not elected,0
Ukraine of the Future,2014,0.09,Not elected,0
Power and Honor,2014,0.09,Not elected,0
Civic movement of Ukraine,2014,0.08,Not elected,0
Bloc of Left Forces,2014,0.08,Not elected,0
National Democratic Party of Ukraine,2014,0.08,Not elected,0
Congress of Ukrainian Nationalists,2014,0.06,Not elected,0
Liberal Party,2014,0.05,Not elected,0
Party of Regions,2012,30,Elected,72
Fatherland,2012,25.55,Elected,62
UDAR,2012,13.97,Elected,34
Communist Party,2012,13.18,Elected,32
Svoboda,2012,10.45,Elected,25
Ukraine - Forward!,2012,1.58,Not elected,0
Our Ukraine,2012,1.11,Not elected,0
Radical Party of Oleh Lyashko,2012,1.08,Not elected,0
Party of Pensioners,2012,0.56,Not elected,0
Socialist Party,2012,0.46,Not elected,0
Party of Greens,2012,0.34,Not elected,0
Green Planet,2012,0.34,Not elected,0
Ruski Bloc,2012,0.31,Not elected,0
Greens,2012,0.25,Not elected,0
Ukraine of the Future,2012,0.19,Not elected,0
Native Fatherland,2012,0.16,Not elected,0
People Labor Union of Ukraine,2012,0.11,Not elected,0
New Politics,2012,0.1,Not elected,0
Hromada,2012,0.09,Not elected,0
UNA,2012,0.08,Not elected,0
Liberal Party,2012,0.08,Not elected,0
UP Sobor,2012,0,Registration cancelled,0
